Location,Segment Index,Bacillus subtilis,Bacillus subtilis,Bacillus subtilis,E. coli with JES101 plasmid,E. coli with JES101 plasmid,E. coli with JES101 plasmid,NIST0013,NIST0013,NIST0013,NIST0015,NIST0015,NIST0015,NIST0016,NIST0016,NIST0016,NIST0041,NIST0041,NIST0041,NIST0046,NIST0046,NIST0046,NIST0053,NIST0053,NIST0053,NIST0055,NIST0055,NIST0055,NIST0057,NIST0057,NIST0057,NIST0067,NIST0067,NIST0067,NIST0068,NIST0068,NIST0068,NIST0070,NIST0070,NIST0070,NIST0072,NIST0072,NIST0072,NIST0075,NIST0075,NIST0075,Pseudomonas aeruginosa PA-14,Pseudomonas aeruginosa PA-14,Pseudomonas aeruginosa PA-14,Pseudomonas fluorescens,Pseudomonas fluorescens,Pseudomonas fluorescens,Salmonella enterica,Salmonella enterica,Salmonella enterica,Dead,Dead,Dead,Live,Live,Live
Well,0,B5,B6,B7,C4,C5,C6,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G2,G3,G4,G5,G6,G7,G8,B11,C2,C3,C7,C8,C9,B8,B9,B10,G9,G10,G11,B2,B3,B4
0,0,7972.0,7230.0,7359.0,3176.0,2805.0,3231.0,3472.0,3356.0,3415.0,2423.0,2288.0,2418.0,4735.0,5097.0,4164.0,11845.0,10546.0,8575.0,5182.0,5490.0,5084.0,9583.0,9891.0,9269.0,6169.0,5190.0,5872.0,6897.0,6740.0,6625.0,4250.0,3966.0,3940.0,10965.0,9271.0,10641.0,7498.0,7340.0,7342.0,10248.0,9183.0,9294.0,7498.0,9381.0,8558.0,1528.0,1570.0,1584.0,10957.0,10766.0,10127.0,6591.0,5552.0,5576.0,35454.0,35016.0,33077.0,1656.0,1623.0,1690.0
0,0,8521.0,8067.0,8374.0,3925.0,3568.0,4066.0,3633.0,3575.0,3610.0,2522.0,2317.0,2516.0,6035.0,6357.0,5312.0,12404.0,11088.0,9211.0,4814.0,4893.0,4708.0,8662.0,8809.0,8071.0,6823.0,5969.0,6509.0,7478.0,7419.0,7278.0,4779.0,4732.0,4681.0,8730.0,5858.0,8701.0,6262.0,6103.0,5982.0,10675.0,9715.0,9884.0,8557.0,10612.0,9802.0,1520.0,1548.0,1515.0,11732.0,11566.0,10906.0,7402.0,6291.0,6170.0,35192.0,34871.0,32875.0,1703.0,1653.0,1698.0
0,0,9342.0,8604.0,8948.0,4898.0,4503.0,5073.0,3780.0,3738.0,3701.0,2564.0,2400.0,2591.0,7208.0,7530.0,6370.0,12980.0,11395.0,9547.0,4108.0,4168.0,4046.0,8066.0,8262.0,7584.0,7127.0,6477.0,6852.0,7935.0,7882.0,7749.0,4878.0,4977.0,5057.0,5462.0,4202.0,5844.0,5168.0,5045.0,5046.0,10537.0,9885.0,10168.0,9759.0,11816.0,10662.0,1502.0,1487.0,1405.0,12216.0,12320.0,11483.0,8116.0,6877.0,6884.0,35223.0,34833.0,33292.0,1735.0,1687.0,1755.0
0,0,9966.0,9281.0,9473.0,5974.0,5617.0,6201.0,3897.0,3871.0,3790.0,2595.0,2485.0,2662.0,7811.0,8136.0,7130.0,13557.0,11725.0,9944.0,3909.0,3812.0,3562.0,8595.0,8636.0,8031.0,7417.0,6730.0,7091.0,8229.0,8247.0,8150.0,5249.0,5243.0,5195.0,4019.0,4501.0,4116.0,4569.0,4381.0,4305.0,10410.0,9785.0,10085.0,10725.0,12579.0,11817.0,1414.0,1459.0,1350.0,12517.0,12802.0,11952.0,9294.0,7914.0,8002.0,35249.0,34906.0,32941.0,1814.0,1725.0,1837.0
0,0,10568.0,9997.0,10002.0,6952.0,6720.0,7212.0,4068.0,3994.0,3973.0,2654.0,2529.0,2708.0,8365.0,8601.0,7795.0,13583.0,12122.0,10216.0,4446.0,4239.0,3981.0,9390.0,9331.0,8750.0,7897.0,7129.0,7724.0,8892.0,8682.0,8742.0,6152.0,6155.0,5527.0,4413.0,4960.0,3909.0,4125.0,3890.0,4080.0,10303.0,9858.0,10097.0,11545.0,13293.0,12570.0,1312.0,1379.0,1336.0,12760.0,13176.0,12064.0,10487.0,9352.0,9225.0,35264.0,34879.0,33001.0,1842.0,1799.0,1903.0
0,0,11112.0,10431.0,10580.0,7674.0,7463.0,7956.0,4232.0,4150.0,4135.0,2710.0,2625.0,2759.0,9230.0,9466.0,8871.0,13765.0,12295.0,10403.0,4895.0,4783.0,4569.0,9872.0,9709.0,9266.0,8263.0,7745.0,8085.0,9786.0,9662.0,9513.0,7383.0,7336.0,6497.0,4787.0,4585.0,4552.0,4475.0,4255.0,4706.0,9012.0,9332.0,9862.0,12116.0,13377.0,12838.0,1304.0,1403.0,1249.0,12890.0,13544.0,12412.0,10697.0,9842.0,9678.0,35085.0,34395.0,32783.0,1901.0,1879.0,2021.0
0,0,11448.0,10676.0,11026.0,7943.0,8013.0,8497.0,4351.0,4374.0,4255.0,2792.0,2748.0,2843.0,10370.0,10537.0,10001.0,14064.0,12395.0,10663.0,5261.0,5151.0,4936.0,9565.0,9093.0,8606.0,8547.0,8261.0,8611.0,10253.0,10328.0,9963.0,9275.0,8813.0,7695.0,4546.0,5009.0,4337.0,4973.0,4644.0,5110.0,3874.0,5682.0,7553.0,12435.0,12075.0,12521.0,1269.0,1357.0,1269.0,13069.0,13522.0,12508.0,10278.0,9248.0,10010.0,34888.0,34661.0,32926.0,2083.0,1977.0,2130.0
0,0,11847.0,10885.0,11343.0,8019.0,8290.0,8784.0,4529.0,4506.0,4465.0,3179.0,3233.0,3327.0,11038.0,11135.0,10907.0,13934.0,12781.0,11091.0,5635.0,5438.0,5211.0,7293.0,6789.0,6098.0,9109.0,8887.0,9526.0,10746.0,10748.0,10376.0,11153.0,10256.0,9306.0,4930.0,5190.0,4699.0,5175.0,4871.0,5348.0,2038.0,2407.0,3706.0,12436.0,11120.0,11440.0,1231.0,1342.0,1254.0,12965.0,13688.0,12562.0,10988.0,9979.0,11161.0,34809.0,34477.0,32909.0,2202.0,2130.0,2291.0
0,0,12269.0,11284.0,11633.0,8122.0,8453.0,9026.0,4695.0,4770.0,4628.0,6143.0,6734.0,6779.0,11214.0,11161.0,11098.0,14087.0,12994.0,11267.0,5847.0,5685.0,5469.0,5352.0,4936.0,4408.0,10103.0,9634.0,10492.0,11649.0,11852.0,11248.0,12980.0,12328.0,10874.0,5025.0,5187.0,4768.0,5317.0,5095.0,5450.0,1703.0,1853.0,2470.0,12094.0,9836.0,10369.0,1163.0,1339.0,1243.0,13025.0,13633.0,12676.0,11371.0,10114.0,11281.0,34924.0,34323.0,33000.0,2397.0,2285.0,2486.0
0,0,12414.0,11538.0,12088.0,8361.0,8712.0,9140.0,4930.0,4973.0,4855.0,13312.0,13771.0,14441.0,11461.0,11438.0,11243.0,14233.0,12960.0,11311.0,6169.0,6007.0,5748.0,4061.0,3699.0,3269.0,10126.0,9670.0,9900.0,13125.0,13725.0,12572.0,12428.0,13143.0,12686.0,5064.0,5172.0,4704.0,5515.0,5499.0,5767.0,1390.0,1582.0,2156.0,10974.0,8575.0,8556.0,1240.0,1268.0,1235.0,13031.0,13568.0,12574.0,10547.0,9099.0,10060.0,34676.0,34202.0,32827.0,2580.0,2441.0,2671.0
