Location,Segment Index,Bacillus subtilis,Bacillus subtilis,Bacillus subtilis,E. coli with JES101 plasmid,E. coli with JES101 plasmid,E. coli with JES101 plasmid,NIST0013,NIST0013,NIST0013,NIST0015,NIST0015,NIST0015,NIST0016,NIST0016,NIST0016,NIST0041,NIST0041,NIST0041,NIST0046,NIST0046,NIST0046,NIST0053,NIST0053,NIST0053,NIST0055,NIST0055,NIST0055,NIST0057,NIST0057,NIST0057,NIST0067,NIST0067,NIST0067,NIST0068,NIST0068,NIST0068,NIST0070,NIST0070,NIST0070,NIST0072,NIST0072,NIST0072,NIST0075,NIST0075,NIST0075,Pseudomonas aeruginosa PA-14,Pseudomonas aeruginosa PA-14,Pseudomonas aeruginosa PA-14,Pseudomonas fluorescens,Pseudomonas fluorescens,Pseudomonas fluorescens,Salmonella enterica,Salmonella enterica,Salmonella enterica,Dead,Dead,Dead,Live,Live,Live
Well,0,B5,B6,B7,C4,C5,C6,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G2,G3,G4,G5,G6,G7,G8,B11,C2,C3,C7,C8,C9,B8,B9,B10,G9,G10,G11,B2,B3,B4
0,0,15170.0,14071.0,14060.0,12603.0,12760.0,13260.0,12393.0,11542.0,12984.0,13199.0,12816.0,13407.0,9477.0,9274.0,9333.0,17018.0,15914.0,14963.0,4998.0,5375.0,5191.0,18482.0,18613.0,17311.0,10124.0,9790.0,9946.0,9112.0,9751.0,8722.0,10528.0,10893.0,10726.0,17416.0,17000.0,17338.0,15399.0,15797.0,15703.0,5606.0,5443.0,6271.0,15824.0,16165.0,16119.0,2383.0,2367.0,2389.0,15799.0,15953.0,15390.0,8920.0,7874.0,9376.0,21695.0,21086.0,21296.0,11071.0,11391.0,10155.0
0,0,15243.0,14221.0,13910.0,12972.0,13006.0,13479.0,12056.0,11388.0,12669.0,13192.0,12854.0,13384.0,9271.0,8979.0,9159.0,17028.0,15826.0,14871.0,3663.0,3879.0,3887.0,11223.0,11469.0,9740.0,10230.0,10038.0,10056.0,9207.0,9627.0,8776.0,10553.0,10811.0,10551.0,16965.0,15439.0,16976.0,13370.0,14224.0,13455.0,6589.0,5672.0,6271.0,16100.0,16305.0,16280.0,2224.0,2212.0,2256.0,15655.0,15850.0,15326.0,9239.0,8177.0,10076.0,21453.0,20786.0,20982.0,10601.0,10833.0,9636.0
0,0,15213.0,14243.0,13826.0,13160.0,13353.0,13967.0,11892.0,11223.0,12483.0,13222.0,12830.0,13325.0,9467.0,9132.0,9294.0,17102.0,15977.0,14884.0,3371.0,3572.0,3441.0,6315.0,6694.0,6072.0,10605.0,10419.0,10401.0,9504.0,9712.0,8995.0,10682.0,10843.0,10582.0,15094.0,9861.0,15585.0,10069.0,11120.0,10410.0,10264.0,7649.0,7764.0,16031.0,15768.0,16180.0,2160.0,2119.0,2120.0,15529.0,15606.0,15100.0,10330.0,9550.0,11582.0,21110.0,20522.0,20615.0,10297.0,10286.0,9115.0
0,0,15079.0,14197.0,13821.0,13567.0,13824.0,14219.0,11622.0,10895.0,12151.0,13236.0,12739.0,13363.0,10001.0,9578.0,9876.0,16862.0,15967.0,14782.0,3256.0,3600.0,3472.0,10513.0,12298.0,11626.0,11484.0,11139.0,11358.0,10390.0,10288.0,9783.0,11229.0,11327.0,10700.0,9352.0,5556.0,10878.0,8522.0,9614.0,9051.0,16175.0,12330.0,11297.0,15830.0,15342.0,15701.0,2070.0,2023.0,2065.0,15357.0,15477.0,14845.0,12763.0,12095.0,13647.0,21236.0,20166.0,20386.0,9873.0,9890.0,8700.0
0,0,14979.0,14364.0,13900.0,13705.0,14168.0,14447.0,11362.0,10750.0,11911.0,13232.0,12758.0,13356.0,11086.0,10487.0,11244.0,16829.0,15884.0,14847.0,2617.0,2800.0,2748.0,17432.0,18470.0,17834.0,12531.0,12194.0,12050.0,12365.0,11957.0,12060.0,12075.0,12217.0,11389.0,5321.0,3849.0,5919.0,8003.0,9045.0,8538.0,18566.0,17068.0,16489.0,15394.0,14876.0,15098.0,2049.0,1986.0,2028.0,15180.0,15375.0,14617.0,13667.0,13974.0,13927.0,21250.0,20314.0,20177.0,9708.0,9535.0,8375.0
0,0,15068.0,14252.0,13720.0,13807.0,14254.0,14501.0,11206.0,10550.0,11792.0,13259.0,12803.0,13314.0,12472.0,11917.0,12856.0,16892.0,15758.0,14788.0,2650.0,2818.0,2684.0,19812.0,19903.0,19392.0,12469.0,12440.0,11902.0,14173.0,14304.0,14170.0,12379.0,12919.0,12134.0,3614.0,3021.0,3781.0,8385.0,9664.0,9577.0,17916.0,17341.0,17556.0,15122.0,14134.0,14300.0,2369.0,2068.0,2120.0,15029.0,15151.0,14616.0,12020.0,12494.0,12541.0,20859.0,20073.0,19814.0,9305.0,9087.0,8082.0
0,0,15094.0,14237.0,13888.0,13678.0,14096.0,14340.0,11134.0,10383.0,11613.0,13238.0,12847.0,13312.0,13630.0,12996.0,13716.0,16761.0,15887.0,14751.0,2745.0,2897.0,2776.0,19429.0,18984.0,18325.0,11775.0,11807.0,11187.0,14282.0,14964.0,14200.0,12571.0,12978.0,12555.0,2949.0,5506.0,2880.0,11500.0,11906.0,11036.0,9053.0,12813.0,14746.0,14951.0,12987.0,13229.0,1797.0,2452.0,2613.0,14964.0,15063.0,14570.0,10707.0,11239.0,11664.0,20931.0,20020.0,19930.0,9253.0,9109.0,7982.0
0,0,15236.0,14558.0,14062.0,13610.0,13948.0,14068.0,11284.0,10391.0,11658.0,13537.0,13225.0,13654.0,13354.0,12699.0,13124.0,16811.0,15964.0,14857.0,2842.0,2955.0,2798.0,15672.0,15092.0,13912.0,11111.0,11120.0,10651.0,13202.0,14134.0,12837.0,12228.0,12283.0,12268.0,5537.0,8268.0,4572.0,11999.0,12030.0,10990.0,3217.0,4436.0,7029.0,14567.0,13169.0,12961.0,152.0,1644.0,832.0,14875.0,15024.0,14451.0,9783.0,10874.0,11280.0,20973.0,20016.0,19844.0,9227.0,9094.0,7806.0
0,0,15509.0,14707.0,14166.0,13275.0,13764.0,13666.0,11369.0,10417.0,11463.0,14393.0,13940.0,14392.0,11979.0,11502.0,11903.0,16927.0,16030.0,15114.0,2901.0,2994.0,2921.0,12465.0,12303.0,11441.0,10748.0,10680.0,10192.0,12836.0,13387.0,12360.0,12073.0,11678.0,11564.0,7821.0,8533.0,7476.0,12162.0,12169.0,11287.0,2368.0,2751.0,3566.0,14184.0,9824.0,12016.0,21.0,267.0,108.0,14996.0,15040.0,14511.0,9860.0,10740.0,11120.0,21011.0,20117.0,19739.0,9299.0,9176.0,7748.0
0,0,15591.0,14892.0,14437.0,12932.0,13427.0,13415.0,11520.0,10687.0,11610.0,14966.0,14602.0,15040.0,11164.0,10558.0,11086.0,16971.0,16237.0,15203.0,2909.0,3042.0,2936.0,11470.0,11762.0,10874.0,10247.0,10281.0,9924.0,13005.0,13402.0,12504.0,11788.0,11483.0,10830.0,8217.0,8596.0,8520.0,12361.0,12702.0,11896.0,1960.0,2225.0,2854.0,13352.0,7568.0,8670.0,3.0,30.0,33.0,14995.0,15080.0,14634.0,10073.0,10430.0,11005.0,21200.0,20141.0,19521.0,9459.0,9201.0,7886.0
